Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield
WST,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$17,463,641,303",0.31%
WTW,Willis Towers Watson Public Limited Company,Common stocks,Large cap,Financials,"$26,430,544,672",1.33%
WY,Weyerhaeuser Company,REITs,Large cap,Real Estate,"$23,321,209,730",2.25%
WYNN,Wynn Resorts Ltd,Common stocks,Mid cap,Consumer Discretionary,"$9,627,122,691",0.00%
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"$37,689,003,920",2.76%
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"$426,861,113,087",3.38%
XRAY,Dentsply Sirona Inc,Common stocks,Mid cap,Health Care,"$6,395,777,727",1.62%
XYL,Xylem Inc,Common stocks,Large cap,Industrials,"$20,000,985,621",1.08%
YUM,Yum Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$36,132,102,572",1.76%
ZBH,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"$26,061,568,562",0.77%
ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$13,038,589,187",0.00%
ZION,Zions Bancorporation,Common stocks,Mid cap,Financials,"$7,039,515,326",3.32%
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"$70,027,317,249",0.86%
