Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield
KDP,Keurig Dr Pepper Inc.,Common stocks,Large cap,Consumer Staples,"$53,732,574,588",1.99%
KEY,Keycorp,Common stocks,Large cap,Financials,"$16,103,055,175",4.51%
KEYS,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$31,772,098,068",0.00%
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"$48,862,464,242",3.95%
KIM,Kimco Realty Corporation,REITs,Large cap,Real Estate,"$13,599,953,630",2.75%
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"$54,999,465,525",1.21%
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"$46,135,169,250",3.33%
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"$40,549,266,961",5.97%
KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$10,286,808,464",0.00%
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"$274,779,572,795",2.74%
KR,Kroger,Common stocks,Large cap,Consumer Staples,"$33,599,948,614",1.99%
L,Loews Corp,Common stocks,Large cap,Financials,"$13,352,897,404",0.44%
LDOS,Leidos Holdings Inc,Common stocks,Large cap,Industrials,"$14,830,816,935",1.32%
LEN,Lennar Corporation Class A,Common stocks,Large cap,Consumer Discretionary,"$25,359,467,069",1.67%
LH,Laboratory Corporation Of America,Common stocks,Large cap,Health Care,"$20,704,048,000",0.92%
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"$41,490,673,058",2.04%
LIN,Linde Plc,Common stocks,Large cap,Materials,"$163,837,376,905",1.40%
LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"$14,066,762,960",1.93%
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"$353,437,673,463",1.05%
LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$126,109,990,996",2.35%
LNC,Lincoln National Corp,Common stocks,Mid cap,Financials,"$5,969,921,570",5.03%
LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$13,680,689,735",3.10%
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$128,416,740,307",1.78%
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"$60,590,611,398",1.39%
